TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,UNITS_SOLD,HOUR_OF_DAY,DAY_OF_WEEK,TIME_BUCKET,PRODUCT_DETAIL,PRODUCT_TYPE,STORE_LOCATION,PRODUCT_CATEGORY
66.00,22,15,22,07,Sun,morning,Ethiopia Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
93.00,30,18,30,07,Sun,morning,Spicy Eye Opener Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
130.50,29,15,29,07,Sun,morning,Dark chocolate Lg,Hot chocolate,Lower Manhattan,Drinking Chocolate
40.00,20,15,20,07,Sun,morning,Our Old Time Diner Blend Sm,Drip coffee,Lower Manhattan,Coffee
30.00,10,10,10,07,Sun,morning,Oatmeal Scone,Scone,Lower Manhattan,Bakery
38.00,19,11,19,07,Sun,morning,Columbian Medium Roast Sm,Gourmet brewed coffee,Lower Manhattan,Coffee
119.00,28,19,28,07,Sun,morning,Latte Rg,Barista Espresso,Lower Manhattan,Coffee
52.50,15,9,15,07,Sun,morning,Dark chocolate Rg,Hot chocolate,Lower Manhattan,Drinking Chocolate
35.70,14,10,14,07,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
35.00,10,5,10,07,Sun,morning,Ethiopia Lg,Gourmet brewed coffee,Lower Manhattan,Coffee
75.00,25,14,25,07,Sun,morning,Earl Grey Lg,Brewed Black tea,Lower Manhattan,Tea
54.60,20,13,20,07,Sun,morning,Ouro Brasileiro shot,Barista Espresso,Lower Manhattan,Coffee
54.00,18,11,18,07,Sun,morning,Serenity Green Tea Lg,Brewed Green tea,Lower Manhattan,Tea
45.00,12,12,12,07,Sun,morning,Jumbo Savory Scone,Scone,Lower Manhattan,Bakery
52.50,21,12,21,08,Sun,morning,Lemon Grass Rg,Brewed herbal tea,Hell's Kitchen,Tea
90.00,20,13,20,08,Sun,morning,Dark chocolate Lg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
123.50,26,21,26,08,Sun,morning,Sustainably Grown Organic Lg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
35.75,11,11,11,08,Sun,morning,Hazelnut Biscotti,Biscotti,Lower Manhattan,Bakery
56.10,22,15,22,08,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
120.00,32,20,32,08,Sun,morning,Cappuccino,Barista Espresso,Hell's Kitchen,Coffee
33.00,11,7,11,08,Sun,morning,Lemon Grass Lg,Brewed herbal tea,Lower Manhattan,Tea
62.50,25,15,25,08,Sun,morning,Columbian Medium Roast Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
87.50,35,22,35,08,Sun,morning,Morning Sunrise Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
80.00,20,11,20,09,Sun,morning,Morning Sunrise Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
81.00,27,18,27,09,Sun,morning,Peppermint Lg,Brewed herbal tea,Hell's Kitchen,Tea
93.00,31,21,31,09,Sun,morning,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
67.50,18,12,18,09,Sun,morning,Sustainably Grown Organic Rg,Hot chocolate,Lower Manhattan,Drinking Chocolate
